Period,March 24, 2018 -> Today at 2:59 PM,

,Time,Butler Trail - Crenshaw Bridge PC (Urban Trail)Butler Trail - Crenshaw Bridge PC (Urban Trail),Butler Trail - South Lamar PC (Urban Trail)Butler Trail - South Lamar PC (Urban Trail),Butler Trail - North Congress PC (Urban Trail)Butler Trail - North Congress PC (Urban Trail),Butler Trail - Longhorn Dam PC (Urban Trail)Butler Trail - Longhorn Dam PC (Urban Trail),Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 1 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 1 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 2 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 2 OUT,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 3 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 3 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 4 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 4 OUT,
,May 23, 2018 2:30 PM,35,43,39,8,11,15,10,5,17,17,15,,3,7,2,3,4,4,12,,
,May 23, 2018 2:45 PM,29,26,24,28,13,8,11,15,8,11,6,7,2,7,2,1,6,,5,5,
,May 23, 2018 3:00 PM,22,36,31,11,7,19,7,2,11,11,13,2,3,2,1,5,1,4,10,2,
,May 23, 2018 3:15 PM,43,33,35,10,15,12,7,4,16,13,12,2,6,5,1,2,6,3,15,2,
,May 23, 2018 3:30 PM,46,34,31,12,22,14,7,5,17,9,14,,4,4,3,5,3,7,7,2,
,May 23, 2018 3:45 PM,32,29,34,6,12,13,10,3,12,12,8,,4,1,3,1,4,3,13,2,
,May 23, 2018 4:00 PM,39,36,36,15,13,13,19,3,12,16,12,6,9,3,2,2,5,4,3,4,
,May 23, 2018 4:15 PM,48,44,32,8,11,15,14,2,19,16,13,3,7,8,2,1,11,5,3,2,
,May 23, 2018 4:30 PM,114,28,35,20,16,11,12,8,85,7,10,4,9,7,7,4,4,3,6,4,
,May 23, 2018 4:45 PM,73,27,31,23,20,8,10,10,38,14,10,7,6,3,5,1,9,2,6,5,
,May 23, 2018 5:00 PM,41,50,47,14,13,28,18,5,20,17,21,7,3,3,5,1,5,2,3,1,
,May 23, 2018 5:15 PM,63,61,36,17,19,32,12,11,30,16,13,2,6,8,7,1,8,5,4,3,
,May 23, 2018 5:30 PM,49,78,51,28,25,34,22,14,11,29,17,7,6,6,2,4,7,9,10,3,
,May 23, 2018 5:45 PM,74,77,57,28,16,41,21,14,34,25,18,7,13,7,8,3,11,4,10,4,
,May 23, 2018 6:00 PM,84,79,42,23,22,41,15,6,37,27,20,5,11,6,2,5,14,5,5,7,
,May 23, 2018 6:15 PM,97,78,74,18,22,35,27,10,57,24,25,4,6,10,5,2,12,9,17,2,
,May 23, 2018 6:30 PM,157,77,85,17,31,36,30,7,97,29,39,4,11,5,5,2,18,7,11,4,
,May 23, 2018 6:45 PM,189,84,89,16,35,41,27,10,128,31,36,2,10,5,6,,16,7,20,4,
,May 23, 2018 7:00 PM,214,102,75,12,45,39,22,4,141,48,43,1,11,6,,3,17,9,10,4,
,May 23, 2018 7:15 PM,205,85,98,18,31,24,28,7,147,42,35,2,5,6,6,3,22,13,29,6,
,May 23, 2018 7:30 PM,226,90,100,34,35,28,28,8,165,33,47,11,4,10,3,5,22,19,22,10,
,May 23, 2018 7:45 PM,214,95,123,32,29,29,38,8,148,45,62,17,6,6,6,5,31,15,17,2,
,May 23, 2018 8:00 PM,209,46,90,19,25,18,13,7,154,18,65,4,6,3,1,5,24,7,11,3,
,May 23, 2018 8:15 PM,163,59,89,15,29,23,26,7,119,24,40,3,5,8,6,2,10,4,17,3,
,May 23, 2018 8:30 PM,164,31,73,13,30,14,17,4,126,12,46,2,5,3,1,1,3,2,9,6,
,May 23, 2018 8:45 PM,101,17,124,5,40,7,84,1,54,5,34,1,2,2,1,,5,3,5,3,
,May 23, 2018 9:00 PM,79,9,107,5,41,4,76,2,32,1,21,1,2,3,2,1,4,1,8,1,
,May 23, 2018 9:15 PM,148,20,14,2,98,8,6,,38,3,4,2,8,8,,,4,1,4,,
,May 23, 2018 9:30 PM,203,12,4,3,159,2,1,,20,1,,3,23,7,2,,1,2,1,,
,May 23, 2018 9:45 PM,307,27,9,4,268,6,1,1,20,1,2,,18,20,5,3,1,,1,,
,May 23, 2018 10:00 PM,329,32,9,4,303,17,5,3,7,,1,,19,15,3,,,,,1,
,May 23, 2018 10:15 PM,433,23,10,3,390,12,,,7,2,,,36,9,10,2,,,,1,
,May 23, 2018 10:30 PM,177,24,17,,159,10,2,,11,,,,3,13,15,,4,1,,,
,May 23, 2018 10:45 PM,27,,6,9,24,,,3,2,,,,1,,2,5,,,4,1,
,May 23, 2018 11:00 PM,3,9,,1,3,2,,,,2,,,,4,,,,1,,1,
,May 23, 2018 11:15 PM,4,4,1,1,2,,,,,,,,2,3,1,,,1,,1,
,May 23, 2018 11:30 PM,1,,,3,1,,,1,,,,1,,,,1,,,,,
,May 23, 2018 11:45 PM,1,30,5,3,,14,,,,16,,1,1,,3,,,,2,2,
,May 24, 2018 12:00 AM,4,1,1,1,1,,,,,1,,,3,,,,,,1,1,
,May 24, 2018 12:15 AM,1,1,1,,,,,,,1,,,,,1,,1,,,,
,May 24, 2018 12:30 AM,,,,1,,,,,,,,1,,,,,,,,,
,May 24, 2018 12:45 AM,,,1,,,,1,,,,,,,,,,,,,,
,May 24, 2018 1:00 AM,1,1,,1,,,,,,,,,1,,,,,1,,1,
,May 24, 2018 1:15 AM,,4,,,,4,,,,,,,,,,,,,,,
,May 24, 2018 1:30 AM,3,,2,3,2,,,,,,,,1,,2,3,,,,,
,May 24, 2018 1:45 AM,,1,2,1,,,2,1,,1,,,,,,,,,,,
,May 24, 2018 2:00 AM,,1,,3,,1,,,,,,,,,,1,,,,2,
,May 24, 2018 2:15 AM,,,,,,,,,,,,,,,,,,,,,
,May 24, 2018 2:30 AM,,2,,1,,,,,,2,,1,,,,,,,,,
,May 24, 2018 2:45 AM,1,,1,,,,,,,,,,,,,,1,,1,,
,May 24, 2018 3:00 AM,,,,,,,,,,,,,,,,,,,,,
,May 24, 2018 3:15 AM,,,,,,,,,,,,,,,,,,,,,
,May 24, 2018 3:30 AM,,,1,,,,1,,,,,,,,,,,,,,
,May 24, 2018 3:45 AM,,,,,,,,,,,,,,,,,,,,,
,May 24, 2018 4:00 AM,,1,2,,,1,2,,,,,,,,,,,,,,
,May 24, 2018 4:15 AM,,,2,,,,2,,,,,,,,,,,,,,
,May 24, 2018 4:30 AM,1,2,1,,,1,,,,,1,,,1,,,1,,,,
,May 24, 2018 4:45 AM,,,,1,,,,,,,,,,,,1,,,,,
,May 24, 2018 5:00 AM,3,1,1,,2,1,,,1,,1,,,,,,,,,,
,May 24, 2018 5:15 AM,13,1,6,2,9,,6,1,4,1,,,,,,1,,,,,
,May 24, 2018 5:30 AM,19,6,6,,6,4,5,,13,2,1,,,,,,,,,,
,May 24, 2018 5:45 AM,44,14,12,1,17,11,8,1,27,3,4,,,,,,,,,,
,May 24, 2018 6:00 AM,36,27,13,6,5,21,7,2,30,6,6,3,,,,,1,,,1,
,May 24, 2018 6:15 AM,49,51,26,6,20,27,13,1,29,24,11,5,,,1,,,,1,,
,May 24, 2018 6:30 AM,67,29,23,6,34,15,5,1,30,13,17,4,2,,,,1,1,1,1,
,May 24, 2018 6:45 AM,48,57,44,12,15,26,19,5,32,27,21,5,,2,1,2,1,2,3,,
,May 24, 2018 7:00 AM,68,49,43,14,28,33,17,8,35,15,25,3,1,,1,3,4,1,,,
,May 24, 2018 7:15 AM,70,60,50,10,21,33,22,4,44,23,24,2,3,2,2,3,2,2,2,1,
,May 24, 2018 7:30 AM,81,47,33,14,34,26,10,1,40,17,22,9,4,3,,1,3,1,1,3,
,May 24, 2018 7:45 AM,86,67,32,12,32,40,11,5,45,26,16,4,7,1,3,1,2,,2,2,
,May 24, 2018 8:00 AM,79,52,38,11,33,27,21,7,36,17,14,2,6,4,1,1,4,4,2,1,
,May 24, 2018 8:15 AM,87,63,33,25,34,40,8,16,38,19,16,6,11,1,4,3,4,3,5,,
,May 24, 2018 8:30 AM,106,53,53,8,44,18,22,5,44,27,22,1,9,5,4,2,9,3,5,,
,May 24, 2018 8:45 AM,105,58,45,9,51,33,19,2,48,19,18,,5,3,1,3,1,3,7,4,
,May 24, 2018 9:00 AM,114,44,35,14,41,17,10,2,58,23,15,7,8,2,4,3,7,2,6,2,
,May 24, 2018 9:15 AM,99,45,32,16,48,23,17,7,45,17,10,5,3,4,3,2,3,1,2,2,
,May 24, 2018 9:30 AM,107,50,25,25,44,30,8,12,54,17,14,3,5,2,2,5,4,1,1,5,
,May 24, 2018 9:45 AM,88,56,40,11,35,25,18,2,43,21,11,2,6,6,3,2,4,4,8,5,
,May 24, 2018 10:00 AM,72,49,39,24,22,23,11,13,42,19,22,9,5,7,3,1,3,,3,1,
,May 24, 2018 10:15 AM,100,57,34,8,47,24,15,1,43,29,11,2,7,3,4,1,3,1,4,4,
,May 24, 2018 10:30 AM,88,73,56,11,36,36,33,7,41,23,6,1,5,11,15,,6,3,2,3,
,May 24, 2018 10:45 AM,85,51,58,14,37,29,14,4,38,19,36,4,4,,3,5,6,3,5,1,
,May 24, 2018 11:00 AM,50,62,46,16,20,29,16,4,20,24,28,3,5,6,,5,5,3,2,4,
,May 24, 2018 11:15 AM,58,40,42,28,24,24,14,3,30,13,15,11,2,2,5,4,2,1,8,10,
,May 24, 2018 11:30 AM,53,61,42,18,17,34,16,10,30,18,12,1,2,7,8,5,4,2,6,2,
,May 24, 2018 11:45 AM,85,50,43,14,29,24,13,9,36,16,22,1,6,6,5,2,14,4,3,2,
,May 24, 2018 12:00 PM,58,59,23,17,27,26,12,3,19,27,2,2,4,3,5,8,8,3,4,4,
,May 24, 2018 12:15 PM,62,79,58,18,18,40,23,8,25,29,19,1,9,3,5,5,10,7,11,4,
,May 24, 2018 12:30 PM,53,61,42,41,22,36,15,19,20,17,16,17,6,6,7,5,5,2,4,,
,May 24, 2018 12:45 PM,40,54,41,57,16,20,7,26,16,27,25,25,4,5,1,4,4,2,8,2,
,May 24, 2018 1:00 PM,42,33,30,113,18,14,14,67,15,12,9,44,4,4,2,2,5,3,5,,
,May 24, 2018 1:15 PM,92,54,29,192,11,31,14,124,66,17,10,67,7,5,3,,8,1,2,1,
,May 24, 2018 1:30 PM,36,38,21,35,11,23,3,15,14,8,4,18,9,7,6,1,2,,8,1,
,May 24, 2018 1:45 PM,41,35,29,10,18,13,9,3,13,16,13,1,5,4,5,2,5,2,2,4,
,May 24, 2018 2:00 PM,31,56,31,18,11,27,12,13,12,18,9,1,3,8,5,2,5,3,5,2,
,May 24, 2018 2:15 PM,32,26,33,6,17,10,17,2,4,11,6,2,8,,1,1,3,5,9,1,
,May 24, 2018 2:30 PM,29,28,31,6,10,14,16,,11,11,10,,5,,3,,3,3,2,6,
,May 24, 2018 2:45 PM,21,32,49,27,8,10,16,19,8,17,23,,4,3,3,6,1,2,7,2,
,May 24, 2018 3:00 PM,34,27,37,8,13,12,12,3,11,13,11,2,6,1,9,1,4,1,5,2,
,May 24, 2018 3:15 PM,33,20,21,16,13,8,11,6,13,9,4,1,4,1,3,5,3,2,3,4,
,May 24, 2018 3:30 PM,21,33,39,10,7,18,5,1,8,3,9,1,4,9,1,5,2,3,24,3,
,May 24, 2018 3:45 PM,9,43,29,12,2,21,10,3,3,13,8,5,2,6,6,2,2,3,5,2,
,May 24, 2018 4:00 PM,20,27,34,17,6,14,5,7,7,8,13,3,4,4,4,2,3,1,12,5,
,May 24, 2018 4:15 PM,28,40,37,13,11,16,13,2,4,21,14,2,7,2,3,3,6,1,7,6,
,May 24, 2018 4:30 PM,22,46,57,18,4,15,29,5,4,18,17,5,7,9,7,3,7,4,4,5,
,May 24, 2018 4:45 PM,34,39,33,8,9,17,8,,2,13,13,2,12,7,2,5,11,2,10,1,
,May 24, 2018 5:00 PM,34,37,58,6,10,21,29,1,6,11,8,2,9,4,14,2,9,1,7,1,
,May 24, 2018 5:15 PM,33,55,40,30,20,25,19,12,5,22,8,5,6,2,9,7,2,6,4,6,
,May 24, 2018 5:30 PM,49,60,56,20,30,27,17,6,8,22,27,4,6,4,6,5,5,7,6,5,
,May 24, 2018 5:45 PM,39,62,67,19,21,23,21,7,8,28,28,4,6,9,7,4,4,2,11,4,
,May 24, 2018 6:00 PM,40,59,72,23,17,20,27,7,4,26,28,8,7,10,9,6,12,3,8,2,
,May 24, 2018 6:15 PM,55,70,58,35,24,33,15,23,12,20,21,3,12,6,11,3,7,11,11,6,
,May 24, 2018 6:30 PM,51,60,50,27,18,25,21,11,16,24,17,2,8,8,5,7,9,3,7,7,
,May 24, 2018 6:45 PM,57,62,71,26,25,31,43,10,21,23,21,8,5,6,4,4,6,2,3,4,
,May 24, 2018 7:00 PM,70,73,75,29,29,30,19,14,23,28,42,7,8,8,5,4,10,7,9,4,
,May 24, 2018 7:15 PM,75,76,88,24,34,37,25,14,24,26,46,2,6,9,10,3,11,4,7,5,
,May 24, 2018 7:30 PM,67,58,77,19,24,30,20,7,30,23,42,7,6,3,7,2,7,2,8,3,
,May 24, 2018 7:45 PM,58,60,93,9,26,25,18,5,17,22,67,3,7,5,3,1,8,8,5,,
,May 24, 2018 8:00 PM,43,41,84,24,23,19,25,5,11,13,47,12,4,6,6,2,5,3,6,5,
,May 24, 2018 8:15 PM,45,30,80,18,26,11,30,13,11,7,43,4,3,8,2,1,5,4,5,,
,May 24, 2018 8:30 PM,36,12,43,13,24,6,16,3,7,5,26,4,4,,1,2,1,1,,4,
,May 24, 2018 8:45 PM,20,7,68,7,8,5,51,3,11,1,15,2,,1,1,1,1,,1,1,
,May 24, 2018 9:00 PM,4,15,124,6,2,7,94,,,5,27,2,1,3,2,1,1,,1,3,
,May 24, 2018 9:15 PM,8,3,11,4,3,1,10,2,2,2,1,,1,,,1,2,,,1,
,May 24, 2018 9:30 PM,5,,8,3,3,,2,,1,,1,,,,1,,1,,4,3,
,May 24, 2018 9:45 PM,2,2,25,6,1,1,3,2,1,,19,1,,1,,,,,3,3,
,May 24, 2018 10:00 PM,1,4,14,2,,3,1,1,1,1,9,,,,,,,,4,1,
,May 24, 2018 10:15 PM,6,2,4,7,1,,,1,1,,1,1,2,2,,,2,,3,5,
,May 24, 2018 10:30 PM,2,8,4,2,1,8,1,,1,,3,,,,,2,,,,,
,May 24, 2018 10:45 PM,1,2,5,5,,,2,1,,1,1,1,,1,,,1,,2,3,
,May 24, 2018 11:00 PM,1,,5,5,,,1,2,1,,2,1,,,,,,,2,2,
,May 24, 2018 11:15 PM,7,1,3,2,2,,,,5,,3,1,,,,,,1,,1,
,May 24, 2018 11:30 PM,6,1,,4,4,,,3,1,,,,,1,,,1,,,1,
,May 24, 2018 11:45 PM,1,2,2,,1,1,1,,,1,,,,,1,,,,,,
,May 25, 2018 12:00 AM,2,1,3,2,2,1,,,,,,,,,,,,,3,2,
,May 25, 2018 12:15 AM,1,,1,3,,,,,,,,2,,,,,1,,1,1,
,May 25, 2018 12:30 AM,,1,,1,,,,,,,,,,1,,,,,,1,
,May 25, 2018 12:45 AM,,,,,,,,,,,,,,,,,,,,,
,May 25, 2018 1:00 AM,,,2,,,,,,,,,,,,,,,,2,,
,May 25, 2018 1:15 AM,,,3,,,,,,,,3,,,,,,,,,,
,May 25, 2018 1:30 AM,1,,2,2,,,1,1,1,,,1,,,,,,,1,,
,May 25, 2018 1:45 AM,,,,2,,,,2,,,,,,,,,,,,,
,May 25, 2018 2:00 AM,,,,,,,,,,,,,,,,,,,,,
,May 25, 2018 2:15 AM,,,,1,,,,,,,,,,,,1,,,,,
,May 25, 2018 2:30 AM,,1,,,,,,,,1,,,,,,,,,,,
,May 25, 2018 2:45 AM,,,,1,,,,,,,,,,,,,,,,1,
,May 25, 2018 3:00 AM,,,3,,,,,,,,3,,,,,,,,,,
,May 25, 2018 3:15 AM,,,,2,,,,,,,,,,,,2,,,,,
,May 25, 2018 3:30 AM,,1,2,,,1,,,,,,,,,,,,,2,,
,May 25, 2018 3:45 AM,,,,,,,,,,,,,,,,,,,,,
,May 25, 2018 4:00 AM,,,,,,,,,,,,,,,,,,,,,
,May 25, 2018 4:15 AM,1,1,,,,,,,,,,,,1,,,1,,,,
,May 25, 2018 4:30 AM,1,1,,1,,,,,1,1,,,,,,1,,,,,
,May 25, 2018 4:45 AM,,,1,2,,,,,,,1,,,,,1,,,,1,
,May 25, 2018 5:00 AM,3,,1,,,,,,2,,,,,,,,1,,1,,
,May 25, 2018 5:15 AM,8,7,2,1,2,5,1,1,6,1,1,,,1,,,,,,,
,May 25, 2018 5:30 AM,15,8,8,1,4,7,4,1,9,1,4,,1,,,,1,,,,
,May 25, 2018 5:45 AM,25,9,15,2,3,8,1,,15,1,8,2,7,,2,,,,4,,
,May 25, 2018 6:00 AM,23,13,17,13,11,8,2,4,10,5,14,2,2,,,,,,1,7,
,May 25, 2018 6:15 AM,42,15,12,,16,8,7,,25,6,5,,,,,,1,1,,,
,May 25, 2018 6:30 AM,44,20,32,6,13,14,18,1,30,6,10,4,1,,1,1,,,3,,
,May 25, 2018 6:45 AM,40,58,36,15,13,31,16,9,24,25,16,3,2,,3,1,1,2,1,2,
,May 25, 2018 7:00 AM,63,48,21,13,25,24,10,5,35,16,8,4,3,4,,4,,4,3,,
,May 25, 2018 7:15 AM,68,52,41,7,27,26,14,3,37,19,24,2,2,5,2,2,2,2,1,,
,May 25, 2018 7:30 AM,70,62,42,15,26,33,16,2,38,27,16,5,4,,4,5,2,2,6,3,
,May 25, 2018 7:45 AM,102,53,55,13,51,28,13,4,43,24,28,5,3,1,3,1,5,,11,3,
,May 25, 2018 8:00 AM,99,68,51,15,53,38,21,7,33,22,20,5,9,5,4,3,4,3,6,,
,May 25, 2018 8:15 AM,78,55,47,18,33,28,22,8,36,24,18,5,7,2,3,2,2,1,4,3,
,May 25, 2018 8:30 AM,97,59,63,11,47,27,26,2,39,24,26,3,10,6,6,6,1,2,5,,
,May 25, 2018 8:45 AM,98,69,47,11,52,39,12,2,34,24,25,3,7,5,4,4,5,1,6,2,
,May 25, 2018 9:00 AM,82,70,40,25,36,45,12,13,31,19,18,7,9,3,4,3,6,3,6,2,
,May 25, 2018 9:15 AM,88,75,54,27,35,42,15,9,43,23,23,7,5,4,4,4,5,6,12,7,
,May 25, 2018 9:30 AM,76,80,60,13,36,43,17,5,33,27,24,2,3,3,5,4,4,7,14,2,
,May 25, 2018 9:45 AM,133,66,61,13,57,39,23,5,57,26,27,4,5,1,4,3,14,,7,1,
,May 25, 2018 10:00 AM,100,70,39,14,41,29,12,2,45,22,19,2,6,14,5,3,8,5,3,7,
,May 25, 2018 10:15 AM,76,82,47,15,24,34,9,6,40,26,27,2,8,12,,3,4,10,11,4,
,May 25, 2018 10:30 AM,88,66,72,12,33,33,25,5,37,16,25,1,7,10,14,5,11,7,8,1,
,May 25, 2018 10:45 AM,90,66,44,27,31,36,22,8,43,24,12,6,9,5,3,10,7,1,7,3,
,May 25, 2018 11:00 AM,94,62,56,15,28,30,22,3,41,21,22,6,10,9,4,5,15,2,8,1,
,May 25, 2018 11:15 AM,83,58,62,7,28,26,16,4,38,24,29,2,10,5,11,,7,3,6,1,
,May 25, 2018 11:30 AM,67,57,56,21,22,31,26,6,24,18,15,5,8,6,11,5,13,2,4,5,
,May 25, 2018 11:45 AM,57,48,52,14,19,23,18,6,26,19,27,2,9,3,7,1,3,3,,5,
,May 25, 2018 12:00 PM,54,58,55,37,24,26,19,23,20,24,23,5,2,5,7,6,8,3,6,3,
,May 25, 2018 12:15 PM,60,48,63,14,22,26,20,2,22,14,27,5,7,6,7,1,9,2,9,6,
,May 25, 2018 12:30 PM,41,57,46,13,19,26,20,4,13,18,18,2,3,4,6,5,6,9,2,2,
,May 25, 2018 12:45 PM,34,40,46,6,18,20,20,1,10,16,13,,5,3,6,3,1,1,7,2,
,May 25, 2018 1:00 PM,31,46,46,10,7,21,20,2,16,15,9,3,4,5,7,2,4,5,10,3,
,May 25, 2018 1:15 PM,105,67,55,12,12,27,28,5,84,26,14,4,3,5,10,1,6,9,3,2,
,May 25, 2018 1:30 PM,31,48,39,11,12,23,19,4,9,15,12,1,4,5,,4,6,5,8,2,
,May 25, 2018 1:45 PM,44,40,20,8,14,13,4,1,13,19,4,4,10,4,3,2,7,4,9,1,
,May 25, 2018 2:00 PM,46,32,30,13,10,13,5,2,24,14,7,6,8,5,14,1,4,,4,4,
,May 25, 2018 2:15 PM,31,44,22,6,11,16,9,1,12,21,7,1,2,4,2,1,6,3,4,3,
,May 25, 2018 2:30 PM,28,30,28,6,11,8,9,,8,12,11,2,4,5,3,1,5,5,5,3,
,May 25, 2018 2:45 PM,30,37,44,1,10,16,7,,10,10,15,,5,8,8,1,5,3,14,,
,May 25, 2018 3:00 PM,32,45,34,9,10,19,14,,11,16,11,,6,6,2,2,5,4,7,7,
,May 25, 2018 3:15 PM,40,34,59,12,9,12,16,2,13,12,24,1,12,5,3,4,6,5,16,5,
,May 25, 2018 3:30 PM,33,35,35,12,9,14,9,2,9,11,5,3,8,8,9,4,7,2,12,3,
,May 25, 2018 3:45 PM,33,42,44,21,8,14,18,11,8,16,15,2,7,6,5,4,10,6,6,4,
,May 25, 2018 4:00 PM,24,34,34,30,7,13,12,7,5,8,6,11,8,6,6,3,4,7,10,9,
,May 25, 2018 4:15 PM,15,34,55,16,7,16,20,9,1,14,7,3,5,3,13,1,2,1,15,3,
,May 25, 2018 4:30 PM,31,47,31,14,10,15,12,7,1,13,7,1,12,8,6,2,8,11,6,4,
,May 25, 2018 4:45 PM,28,34,19,10,9,12,4,6,4,11,6,2,9,6,8,1,6,5,1,1,
,May 25, 2018 5:00 PM,20,40,45,12,11,14,13,1,1,15,14,2,5,5,12,5,3,6,6,4,
,May 25, 2018 5:15 PM,48,41,44,39,23,18,16,16,14,15,18,12,8,3,5,6,3,5,5,5,
,May 25, 2018 5:30 PM,28,33,43,19,14,18,15,5,4,13,9,4,5,,7,1,5,2,12,9,
,May 25, 2018 5:45 PM,30,44,27,7,8,18,7,2,6,15,14,1,9,5,4,1,7,6,2,3,
,May 25, 2018 6:00 PM,28,25,57,19,7,8,19,9,5,7,22,1,11,5,2,4,5,5,14,5,
,May 25, 2018 6:15 PM,32,55,68,15,8,23,23,8,5,24,29,2,9,2,5,1,10,6,11,4,
,May 25, 2018 6:30 PM,36,34,61,11,12,13,28,4,8,8,19,1,8,6,8,3,8,7,6,3,
,May 25, 2018 6:45 PM,32,41,55,19,11,20,17,7,9,18,28,2,5,2,3,7,7,1,7,3,
,May 25, 2018 7:00 PM,39,34,48,13,19,13,16,8,3,13,23,1,11,3,2,2,6,5,7,2,
,May 25, 2018 7:15 PM,31,30,97,11,12,11,37,2,15,9,47,6,3,3,3,2,1,7,10,1,
,May 25, 2018 7:30 PM,41,42,99,28,11,19,40,11,8,12,47,8,12,7,6,7,10,4,6,2,
,May 25, 2018 7:45 PM,18,36,114,14,6,19,27,4,6,12,75,3,2,3,6,1,4,2,6,6,
,May 25, 2018 8:00 PM,26,45,102,9,13,18,18,5,7,19,68,3,5,5,6,1,1,3,10,,
,May 25, 2018 8:15 PM,19,27,54,8,7,11,8,3,6,10,34,4,2,4,5,,4,2,7,1,
,May 25, 2018 8:30 PM,20,12,59,11,7,5,20,5,11,3,35,3,1,3,4,2,1,1,,1,
,May 25, 2018 8:45 PM,19,20,92,5,9,10,56,2,7,4,30,,2,6,2,,1,,4,3,
,May 25, 2018 9:00 PM,9,6,232,4,4,2,175,1,1,1,50,1,3,2,5,,1,1,2,2,
,May 25, 2018 9:15 PM,8,2,37,2,1,2,25,,3,,6,1,,,5,,4,,1,1,
,May 25, 2018 9:30 PM,9,2,7,,6,,4,,,,1,,2,,1,,1,2,1,,
,May 25, 2018 9:45 PM,6,4,17,4,3,,6,,3,,10,2,,4,,,,,1,2,
,May 25, 2018 10:00 PM,2,4,12,,,4,3,,1,,7,,,,,,1,,2,,
,May 25, 2018 10:15 PM,3,2,20,2,2,1,8,,,1,10,1,1,,,,,,2,1,
,May 25, 2018 10:30 PM,7,2,4,,1,,3,,3,2,,,,,,,3,,1,,
,May 25, 2018 10:45 PM,3,4,7,1,3,3,3,,,,4,1,,1,,,,,,,
,May 25, 2018 11:00 PM,1,,9,2,,,,2,1,,3,,,,1,,,,5,,
,May 25, 2018 11:15 PM,2,,,2,1,,,2,,,,,,,,,1,,,,
,May 25, 2018 11:30 PM,,3,5,1,,1,,,,1,1,,,1,,,,,4,1,
,May 25, 2018 11:45 PM,2,,5,4,1,,,,,,3,2,,,1,1,1,,1,1,
,May 26, 2018 12:00 AM,,1,1,4,,,1,,,,,4,,1,,,,,,,
,May 26, 2018 12:15 AM,2,1,2,3,1,,,,,,1,1,1,,,2,,1,1,,
,May 26, 2018 12:30 AM,1,1,,,,,,,,1,,,,,,,1,,,,
,May 26, 2018 12:45 AM,4,,2,1,4,,,,,,,,,,,,,,2,1,
,May 26, 2018 1:00 AM,5,3,3,3,,2,,2,3,1,,,1,,,1,1,,3,,
,May 26, 2018 1:15 AM,,,4,2,,,,,,,,1,,,,,,,4,1,
,May 26, 2018 1:30 AM,,,,2,,,,,,,,,,,,,,,,2,
,May 26, 2018 1:45 AM,,1,2,2,,1,,,,,,,,,,,,,2,2,
,May 26, 2018 2:00 AM,,1,,2,,1,,,,,,,,,,,,,,2,
,May 26, 2018 2:15 AM,1,,,2,,,,,,,,2,,,,,1,,,,
,May 26, 2018 2:30 AM,1,,,,,,,,,,,,,,,,1,,,,
,May 26, 2018 2:45 AM,,1,,,,,,,,,,,,1,,,,,,,
,May 26, 2018 3:00 AM,1,,,1,,,,,1,,,1,,,,,,,,,
,May 26, 2018 3:15 AM,1,,,,1,,,,,,,,,,,,,,,,
,May 26, 2018 3:30 AM,,,,,,,,,,,,,,,,,,,,,
,May 26, 2018 3:45 AM,,,,,,,,,,,,,,,,,,,,,
,May 26, 2018 4:00 AM,,,,,,,,,,,,,,,,,,,,,
,May 26, 2018 4:15 AM,,,1,,,,,,,,1,,,,,,,,,,
,May 26, 2018 4:30 AM,1,,,3,1,,,,,,,2,,,,,,,,1,
,May 26, 2018 4:45 AM,,,,,,,,,,,,,,,,,,,,,
,May 26, 2018 5:00 AM,1,2,1,,,1,,,1,1,,,,,1,,,,,,
,May 26, 2018 5:15 AM,4,1,,2,2,,,,2,1,,1,,,,,,,,1,
,May 26, 2018 5:30 AM,3,5,,,,4,,,3,1,,,,,,,,,,,
,May 26, 2018 5:45 AM,11,4,3,1,,2,1,1,9,2,2,,1,,,,1,,,,
,May 26, 2018 6:00 AM,27,11,45,2,9,8,38,2,17,3,7,,1,,,,,,,,
,May 26, 2018 6:15 AM,32,21,42,12,13,16,33,4,19,5,9,8,,,,,,,,,
,May 26, 2018 6:30 AM,47,22,25,67,17,8,13,6,28,13,12,61,,,,,2,1,,,
