STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00410433,"AUSTIN GREAT HILLS, TX US",5/9/16,0.08,70,64
USC00410433,"AUSTIN GREAT HILLS, TX US",5/10/16,0,86,66
USC00410433,"AUSTIN GREAT HILLS, TX US",5/11/16,0.59,90,62
USC00410433,"AUSTIN GREAT HILLS, TX US",5/12/16,0,85,63
USC00410433,"AUSTIN GREAT HILLS, TX US",5/13/16,0.12,81,67
USC00410433,"AUSTIN GREAT HILLS, TX US",5/14/16,0,87,68
USC00410433,"AUSTIN GREAT HILLS, TX US",5/15/16,0.56,79,58
USC00410433,"AUSTIN GREAT HILLS, TX US",5/16/16,0.59,70,58
USC00410433,"AUSTIN GREAT HILLS, TX US",5/17/16,0,77,65
USC00410433,"AUSTIN GREAT HILLS, TX US",5/18/16,0.36,82,60
USC00410433,"AUSTIN GREAT HILLS, TX US",5/19/16,0.22,74,59
USC00410433,"AUSTIN GREAT HILLS, TX US",5/20/16,2.06,72,59
USC00410433,"AUSTIN GREAT HILLS, TX US",5/21/16,0,80,61
USC00410433,"AUSTIN GREAT HILLS, TX US",5/22/16,0,80,68
USC00410433,"AUSTIN GREAT HILLS, TX US",5/23/16,0,86,70
USC00410433,"AUSTIN GREAT HILLS, TX US",5/24/16,0,82,70
USC00410433,"AUSTIN GREAT HILLS, TX US",5/25/16,0,85,72
USC00410433,"AUSTIN GREAT HILLS, TX US",5/26/16,0,82,74
USC00410433,"AUSTIN GREAT HILLS, TX US",5/27/16,0.47,88,65
USC00410433,"AUSTIN GREAT HILLS, TX US",5/28/16,0.03,75,61
USC00410433,"AUSTIN GREAT HILLS, TX US",5/29/16,0.22,89,66
USC00410433,"AUSTIN GREAT HILLS, TX US",5/30/16,0.16,85,64
USC00410433,"AUSTIN GREAT HILLS, TX US",5/31/16,0.2,88,64
USC00410433,"AUSTIN GREAT HILLS, TX US",6/1/16,0.89,80,65
USC00410433,"AUSTIN GREAT HILLS, TX US",6/2/16,0.26,85,66
USC00410433,"AUSTIN GREAT HILLS, TX US",6/3/16,0.22,78,63
USC00410433,"AUSTIN GREAT HILLS, TX US",6/4/16,2.37,84,63
USC00410433,"AUSTIN GREAT HILLS, TX US",6/5/16,0.17,82,65
USC00410433,"AUSTIN GREAT HILLS, TX US",6/6/16,0,85,65
USC00410433,"AUSTIN GREAT HILLS, TX US",6/7/16,0,87,66
USC00410433,"AUSTIN GREAT HILLS, TX US",6/8/16,0,89,66
USC00410433,"AUSTIN GREAT HILLS, TX US",6/9/16,0,90,67
USC00410433,"AUSTIN GREAT HILLS, TX US",6/10/16,0,90,66
USC00410433,"AUSTIN GREAT HILLS, TX US",6/11/16,0,90,67
USC00410433,"AUSTIN GREAT HILLS, TX US",6/12/16,0,92,74
USC00410433,"AUSTIN GREAT HILLS, TX US",6/13/16,0,92,75
USC00410433,"AUSTIN GREAT HILLS, TX US",6/14/16,0,92,75
USC00410433,"AUSTIN GREAT HILLS, TX US",6/15/16,0,93,76
USC00410433,"AUSTIN GREAT HILLS, TX US",6/16/16,0,95,73
USC00410433,"AUSTIN GREAT HILLS, TX US",6/17/16,0,95,73
USC00410433,"AUSTIN GREAT HILLS, TX US",6/18/16,0,96,74
USC00410433,"AUSTIN GREAT HILLS, TX US",6/19/16,0,95,75
USC00410433,"AUSTIN GREAT HILLS, TX US",6/20/16,0,92,72
USC00410433,"AUSTIN GREAT HILLS, TX US",6/21/16,0,94,72
USC00410433,"AUSTIN GREAT HILLS, TX US",6/22/16,0,95,72
USC00410433,"AUSTIN GREAT HILLS, TX US",6/23/16,0,94,74
USC00410433,"AUSTIN GREAT HILLS, TX US",6/24/16,0,94,73
USC00410433,"AUSTIN GREAT HILLS, TX US",6/25/16,0,92,73
USC00410433,"AUSTIN GREAT HILLS, TX US",6/26/16,0.03,85,74
USC00410433,"AUSTIN GREAT HILLS, TX US",6/27/16,0,93,72
USC00410433,"AUSTIN GREAT HILLS, TX US",6/28/16,0,95,71
USC00410433,"AUSTIN GREAT HILLS, TX US",6/29/16,0.48,97,68
USC00410433,"AUSTIN GREAT HILLS, TX US",6/30/16,0,92,69
USC00410433,"AUSTIN GREAT HILLS, TX US",7/1/16,0,93,70
USC00410433,"AUSTIN GREAT HILLS, TX US",7/2/16,0,94,71
USC00410433,"AUSTIN GREAT HILLS, TX US",7/3/16,0,95,75
USC00410433,"AUSTIN GREAT HILLS, TX US",7/4/16,0,96,76
USC00410433,"AUSTIN GREAT HILLS, TX US",7/5/16,0,96,77
USC00410433,"AUSTIN GREAT HILLS, TX US",7/6/16,0,98,77
USC00410433,"AUSTIN GREAT HILLS, TX US",7/7/16,0,97,76
USC00410433,"AUSTIN GREAT HILLS, TX US",7/8/16,0,96,76
USC00410433,"AUSTIN GREAT HILLS, TX US",7/9/16,0,98,75
USC00410433,"AUSTIN GREAT HILLS, TX US",7/10/16,0,98,74
USC00410433,"AUSTIN GREAT HILLS, TX US",7/11/16,0,95,76
USC00410433,"AUSTIN GREAT HILLS, TX US",7/12/16,0,98,75
USC00410433,"AUSTIN GREAT HILLS, TX US",7/13/16,0,97,75
USC00410433,"AUSTIN GREAT HILLS, TX US",7/14/16,0,98,75
USC00410433,"AUSTIN GREAT HILLS, TX US",7/15/16,0,98,75
USC00410433,"AUSTIN GREAT HILLS, TX US",7/16/16,0,99,74
USC00410433,"AUSTIN GREAT HILLS, TX US",7/17/16,0,97,73
USC00410433,"AUSTIN GREAT HILLS, TX US",7/18/16,0,97,73
USC00410433,"AUSTIN GREAT HILLS, TX US",7/19/16,0,97,74
USC00410433,"AUSTIN GREAT HILLS, TX US",7/20/16,0,96,73
USC00410433,"AUSTIN GREAT HILLS, TX US",7/21/16,0,98,72
USC00410433,"AUSTIN GREAT HILLS, TX US",7/22/16,0,98,72
USC00410433,"AUSTIN GREAT HILLS, TX US",7/23/16,0,100,72
USC00410433,"AUSTIN GREAT HILLS, TX US",7/24/16,0,99,76
USC00410433,"AUSTIN GREAT HILLS, TX US",7/25/16,0,100,76
USC00410433,"AUSTIN GREAT HILLS, TX US",7/26/16,1.64,100,73
USC00410433,"AUSTIN GREAT HILLS, TX US",7/27/16,0.03,91,72
USC00410433,"AUSTIN GREAT HILLS, TX US",7/28/16,0.88,89,72
USC00410433,"AUSTIN GREAT HILLS, TX US",7/29/16,0,95,72
USC00410433,"AUSTIN GREAT HILLS, TX US",7/30/16,0,94,74
USC00410433,"AUSTIN GREAT HILLS, TX US",7/31/16,0,94,74
USC00410433,"AUSTIN GREAT HILLS, TX US",8/1/16,0,94,72
USC00410433,"AUSTIN GREAT HILLS, TX US",8/2/16,0,96,73
USC00410433,"AUSTIN GREAT HILLS, TX US",8/3/16,0,96,73
USC00410433,"AUSTIN GREAT HILLS, TX US",8/4/16,0,97,74
USC00410433,"AUSTIN GREAT HILLS, TX US",8/5/16,0,96,74
USC00410433,"AUSTIN GREAT HILLS, TX US",8/6/16,0,97,74
USC00410433,"AUSTIN GREAT HILLS, TX US",8/7/16,0,97,75
USC00410433,"AUSTIN GREAT HILLS, TX US",8/8/16,0,98,75
USC00410433,"AUSTIN GREAT HILLS, TX US",8/9/16,0,98,76
USC00410433,"AUSTIN GREAT HILLS, TX US",8/10/16,0,99,77
USC00410433,"AUSTIN GREAT HILLS, TX US",8/11/16,0,99,76
USC00410433,"AUSTIN GREAT HILLS, TX US",8/12/16,0,99,76
USC00410433,"AUSTIN GREAT HILLS, TX US",8/13/16,0.34,102,73
