Time,Butler Trail : Crenshaw Bridge - Urban Trail,Butler Trail: South Lamar - Urban Trail,Butler Trail: North Congress - Urban Trail,Butler Trail : Longhorn Dam - Urban Trail,Shoal Creek Trail & 24th St- Urban Trail
8/16/16 0:00,1274,,,,
8/17/16 0:00,2166,,,,
8/18/16 0:00,2522,,,,
8/19/16 0:00,2637,,,,
8/20/16 0:00,4686,,,,
8/21/16 0:00,4176,,,,
8/22/16 0:00,3193,,,,
8/23/16 0:00,3432,,,,
8/24/16 0:00,3525,,,,
8/25/16 0:00,4047,,,,
8/26/16 0:00,3351,,,,
8/27/16 0:00,5496,,,,
8/28/16 0:00,5691,,,,
8/29/16 0:00,3012,,,,
8/30/16 0:00,4016,,,,
8/31/16 0:00,3278,,,,
9/1/16 0:00,3174,,,,
9/2/16 0:00,3660,,,,
9/3/16 0:00,5568,,,,
9/4/16 0:00,5321,,,,
9/5/16 0:00,5645,,,,
9/6/16 0:00,3515,,,,
9/7/16 0:00,3160,,,,
9/8/16 0:00,3334,,,,
9/9/16 0:00,2588,,,,
9/10/16 0:00,911,,,,
9/11/16 0:00,1047,,,,
9/12/16 0:00,590,,,,
9/13/16 0:00,640,,,,
9/14/16 0:00,1596,,,,
9/15/16 0:00,2928,,,,
9/16/16 0:00,3029,,,,
9/17/16 0:00,4295,,,,
9/18/16 0:00,3710,,,,
9/19/16 0:00,2643,,,,
9/20/16 0:00,2931,,,,
9/21/16 0:00,2794,,,,
9/22/16 0:00,2804,,,,
9/23/16 0:00,3014,,,,
9/24/16 0:00,5590,,,,
9/25/16 0:00,4296,,,,
9/26/16 0:00,2857,,,,
9/27/16 0:00,5316,,,,
9/28/16 0:00,4598,,,,
9/29/16 0:00,4684,,,,
9/30/16 0:00,17157,,,,
10/1/16 0:00,20530,,,,
10/2/16 0:00,18501,,,,
10/3/16 0:00,4073,,,,
10/4/16 0:00,3851,,,,
10/5/16 0:00,3296,,,,
10/6/16 0:00,2972,,,,
10/7/16 0:00,14906,,,,
10/8/16 0:00,18483,,,,
10/9/16 0:00,18195,,,,
10/10/16 0:00,5114,,,,
10/11/16 0:00,4433,,,,
10/12/16 0:00,3690,,,,
10/13/16 0:00,3638,,,,
10/14/16 0:00,3806,,,,
10/15/16 0:00,5999,,,,
10/16/16 0:00,5139,,,,
10/17/16 0:00,3269,,,,
10/18/16 0:00,3559,,,,
10/19/16 0:00,3587,,,,
10/20/16 0:00,4168,,,,
10/21/16 0:00,4703,,,,
10/22/16 0:00,7451,,,,
10/23/16 0:00,6642,,,,
10/24/16 0:00,4420,,,,
10/25/16 0:00,4559,,,,
10/26/16 0:00,4334,,,,
10/27/16 0:00,4178,,,,
10/28/16 0:00,4326,,,,
10/29/16 0:00,7122,,,,
10/30/16 0:00,6299,,,,
10/31/16 0:00,4050,,,,
11/1/16 0:00,3683,,,,
11/2/16 0:00,3250,,,,
11/3/16 0:00,2609,,,,
11/4/16 0:00,3652,,,,
11/5/16 0:00,4895,,,,
11/6/16 0:00,5100,,,,
11/7/16 0:00,2878,,,,
11/8/16 0:00,3060,,,,
11/9/16 0:00,2128,,,,
11/10/16 0:00,4418,,,,
11/11/16 0:00,4682,,,,
11/12/16 0:00,7714,,,,
11/13/16 0:00,7543,,,,
11/14/16 0:00,4707,,,,
11/15/16 0:00,4794,,,,
11/16/16 0:00,4339,,,,
11/17/16 0:00,4218,,,,
11/18/16 0:00,3210,,,,
11/19/16 0:00,6470,,,,
11/20/16 0:00,6282,,,,
11/21/16 0:00,4342,,,,
11/22/16 0:00,3426,,,,
11/23/16 0:00,4600,,,,
11/24/16 0:00,4512,,,,
11/25/16 0:00,3547,,,,
11/26/16 0:00,7077,,,,
11/27/16 0:00,6427,,,,
11/28/16 0:00,4294,,,,
11/29/16 0:00,4546,,,,
11/30/16 0:00,3888,,,,
12/1/16 0:00,3861,,,,
12/2/16 0:00,2420,,,,
12/3/16 0:00,1610,,,,
12/4/16 0:00,1847,,,,
12/5/16 0:00,1099,,,,
12/6/16 0:00,3458,,,,
12/7/16 0:00,2880,,,,
